start_year,location,admin_units,total_damage_thousand_usd,total_deaths,latitude,longitude,total_damage_usd,admin_l,loc_l,state_guess
2017,"7 states in Peninsular Malaysia (Kelantan, Terengganu, Johor, Pahang, Malacca, Selangor, Perak, Sabah)","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,NA,3.932,102.461,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1901,""adm1_name"":""sabah""},{""adm1_code"":1903,""adm1_name"":""selangor""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","7 states in peninsular malaysia (kelantan, terengganu, johor, pahang, malacca, selangor, perak, sabah)",Johor
2017,"Penang, Kedah, Perak","[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1900,""adm1_name"":""Pulau Pinang""}]",0,7,5.247,101.026,0,"[{""adm1_code"":1892,""adm1_name"":""kedah""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1900,""adm1_name"":""pulau pinang""}]","penang, kedah, perak",Kedah
2017,"Kelantan (Kota Bharu, Pasir Mas, Tumpat, Bachok, Tanah Merah, Pasir Puteh, Kuala Krai, Machang, Jeli) and Terengganu (Besut, Kuala Terengganu, Marang, Dungun, Setiu, Kuala Nerus)","[{""adm2_code"":37356,""adm2_name"":""Bachok""},{""adm2_code"":37358,""adm2_name"":""Jeli""},{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37360,""adm2_name"":""Kuala Krai""},{""adm2_code"":37361,""adm2_name"":""Machang""},{""adm2_code"":37362,""adm2_name"":""Pasir Mas""},{""adm2_code"":37363,""adm2_name"":""Pasir Puteh""},{""adm2_code"":37364,""adm2_name"":""Tanah Merah""},{""adm2_code"":37365,""adm2_name"":""Tumpat""},{""adm2_code"":37463,""adm2_name"":""Besut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37467,""adm2_name"":""Kuala Terengganu""},{""adm2_code"":37468,""adm2_name"":""Marang""},{""adm2_code"":37469,""adm2_name"":""Setiu""}]",0,2,NA,NA,0,"[{""adm2_code"":37356,""adm2_name"":""bachok""},{""adm2_code"":37358,""adm2_name"":""jeli""},{""adm2_code"":37359,""adm2_name"":""kota bharu""},{""adm2_code"":37360,""adm2_name"":""kuala krai""},{""adm2_code"":37361,""adm2_name"":""machang""},{""adm2_code"":37362,""adm2_name"":""pasir mas""},{""adm2_code"":37363,""adm2_name"":""pasir puteh""},{""adm2_code"":37364,""adm2_name"":""tanah merah""},{""adm2_code"":37365,""adm2_name"":""tumpat""},{""adm2_code"":37463,""adm2_name"":""besut""},{""adm2_code"":37464,""adm2_name"":""dungun""},{""adm2_code"":37467,""adm2_name"":""kuala terengganu""},{""adm2_code"":37468,""adm2_name"":""marang""},{""adm2_code"":37469,""adm2_name"":""setiu""}]","kelantan (kota bharu, pasir mas, tumpat, bachok, tanah merah, pasir puteh, kuala krai, machang, jeli) and terengganu (besut, kuala terengganu, marang, dungun, setiu, kuala nerus)",Kelantan
2018,"Samarahan, Bintulu, Serian, Mukah, Limbang, Sarikei (Sarawak State)","[{""adm2_code"":37430,""adm2_name"":""Bintulu""},{""adm2_code"":37438,""adm2_name"":""Limbang""},{""adm2_code"":37444,""adm2_name"":""Mukah""},{""adm2_code"":37445,""adm2_name"":""Samarahan""},{""adm2_code"":37447,""adm2_name"":""Sarikei""},{""adm2_code"":37448,""adm2_name"":""Serian""}]",0,NA,3.133,3.659,0,"[{""adm2_code"":37430,""adm2_name"":""bintulu""},{""adm2_code"":37438,""adm2_name"":""limbang""},{""adm2_code"":37444,""adm2_name"":""mukah""},{""adm2_code"":37445,""adm2_name"":""samarahan""},{""adm2_code"":37447,""adm2_name"":""sarikei""},{""adm2_code"":37448,""adm2_name"":""serian""}]","samarahan, bintulu, serian, mukah, limbang, sarikei (sarawak state)",Sarawak
2018,"Kuantan, Rompin, Pekan, Jerantut, Lipis, Bera districts (Pahang state), Johor, Terengganu states","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm2_code"":37380,""adm2_name"":""Jerantut""},{""adm2_code"":37381,""adm2_name"":""Kuantan""},{""adm2_code"":37382,""adm2_name"":""Lipis""},{""adm2_code"":37384,""adm2_name"":""Pekan""},{""adm2_code"":37386,""adm2_name"":""Rompin""},{""adm2_code"":37401,""adm2_name"":""Seberang Perai Selatan""},{""adm2_code"":37404,""adm2_name"":""Timur Laut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37466,""adm2_name"":""Kemaman""}]",0,2,3.659,102.337,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1901,""adm1_name"":""sabah""},{""adm2_code"":37380,""adm2_name"":""jerantut""},{""adm2_code"":37381,""adm2_name"":""kuantan""},{""adm2_code"":37382,""adm2_name"":""lipis""},{""adm2_code"":37384,""adm2_name"":""pekan""},{""adm2_code"":37386,""adm2_name"":""rompin""},{""adm2_code"":37401,""adm2_name"":""seberang perai selatan""},{""adm2_code"":37404,""adm2_name"":""timur laut""},{""adm2_code"":37464,""adm2_name"":""dungun""},{""adm2_code"":37466,""adm2_name"":""kemaman""}]","kuantan, rompin, pekan, jerantut, lipis, bera districts (pahang state), johor, terengganu states",Johor
2019,"Belaga district (Kapit division, Northern and central Sarawak State)","[{""adm2_code"":37428,""adm2_name"":""Belaga""}]",0,NA,NA,NA,0,"[{""adm2_code"":37428,""adm2_name"":""belaga""}]","belaga district (kapit division, northern and central sarawak state)",Sarawak
2019,Peninsular malaysia,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1896,""adm1_name"":""Negeri Sembilan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1899,""adm1_name"":""Perlis""},{""adm1_code"":1900,""adm1_name"":""Pulau Pinang""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,NA,NA,NA,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1892,""adm1_name"":""kedah""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1894,""adm1_name"":""kuala lumpur""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1896,""adm1_name"":""negeri sembilan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1899,""adm1_name"":""perlis""},{""adm1_code"":1900,""adm1_name"":""pulau pinang""},{""adm1_code"":1903,""adm1_name"":""selangor""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]",peninsular malaysia,Johor
2019,"Johor state; Kota Bharu, Pasir Mas, Tumpat, Bachok, Tanah Merah, Pasir Puteh, Kuala Krai, Machang, Jeli districts (Kelantan state); Pahang state; Marang, Dungun, Kemaman, Hulu Terengganu, Setiu, Besut, Kuala Nerus districts (Terengganu state)","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm2_code"":37356,""adm2_name"":""Bachok""},{""adm2_code"":37358,""adm2_name"":""Jeli""},{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37360,""adm2_name"":""Kuala Krai""},{""adm2_code"":37361,""adm2_name"":""Machang""},{""adm2_code"":37362,""adm2_name"":""Pasir Mas""},{""adm2_code"":37363,""adm2_name"":""Pasir Puteh""},{""adm2_code"":37364,""adm2_name"":""Tanah Merah""},{""adm2_code"":37365,""adm2_name"":""Tumpat""},{""adm2_code"":37463,""adm2_name"":""Besut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37465,""adm2_name"":""Hulu Terengganu""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37467,""adm2_name"":""Kuala Terengganu""},{""adm2_code"":37468,""adm2_name"":""Marang""},{""adm2_code"":37469,""adm2_name"":""Setiu""}]",0,2,4.415,102.584,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1894,""adm1_name"":""kuala lumpur""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm2_code"":37356,""adm2_name"":""bachok""},{""adm2_code"":37358,""adm2_name"":""jeli""},{""adm2_code"":37359,""adm2_name"":""kota bharu""},{""adm2_code"":37360,""adm2_name"":""kuala krai""},{""adm2_code"":37361,""adm2_name"":""machang""},{""adm2_code"":37362,""adm2_name"":""pasir mas""},{""adm2_code"":37363,""adm2_name"":""pasir puteh""},{""adm2_code"":37364,""adm2_name"":""tanah merah""},{""adm2_code"":37365,""adm2_name"":""tumpat""},{""adm2_code"":37463,""adm2_name"":""besut""},{""adm2_code"":37464,""adm2_name"":""dungun""},{""adm2_code"":37465,""adm2_name"":""hulu terengganu""},{""adm2_code"":37466,""adm2_name"":""kemaman""},{""adm2_code"":37467,""adm2_name"":""kuala terengganu""},{""adm2_code"":37468,""adm2_name"":""marang""},{""adm2_code"":37469,""adm2_name"":""setiu""}]","johor state; kota bharu, pasir mas, tumpat, bachok, tanah merah, pasir puteh, kuala krai, machang, jeli districts (kelantan state); pahang state; marang, dungun, kemaman, hulu terengganu, setiu, besut, kuala nerus districts (terengganu state)",Johor
2019,"Terengganu, Kelantan","[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,NA,NA,NA,0,"[{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","terengganu, kelantan",Kelantan
2020,Sarawak State (north-west Borneo Island),"[{""adm1_code"":1902,""adm1_name"":""Sarawak""}]",0,NA,NA,NA,0,"[{""adm1_code"":1902,""adm1_name"":""sarawak""}]",sarawak state (north-west borneo island),Sarawak
2020,"Tenom, Kota Belud, Papar, Beaufort, Penampang Districts (Sabah State); Baram, Marudi, Long Lama, Lawas, Limbang districts (Sarawak State)","[{""adm1_code"":1902,""adm1_name"":""Sarawak""},{""adm2_code"":37405,""adm2_name"":""Beaufort""},{""adm2_code"":37408,""adm2_name"":""Kota Belud""},{""adm2_code"":37416,""adm2_name"":""Penampang""},{""adm2_code"":37425,""adm2_name"":""Tenom""}]",6800,NA,NA,NA,6800000,"[{""adm1_code"":1902,""adm1_name"":""sarawak""},{""adm2_code"":37405,""adm2_name"":""beaufort""},{""adm2_code"":37408,""adm2_name"":""kota belud""},{""adm2_code"":37416,""adm2_name"":""penampang""},{""adm2_code"":37425,""adm2_name"":""tenom""}]","tenom, kota belud, papar, beaufort, penampang districts (sabah state); baram, marudi, long lama, lawas, limbang districts (sarawak state)",Sabah
2020,"Pontian, Batu Pahat, Muar, Kluang,Tangkak Districts (Johor State)","[{""adm2_code"":37337,""adm2_name"":""Batu Pahit""},{""adm2_code"":37339,""adm2_name"":""Kluang""},{""adm2_code"":37342,""adm2_name"":""Muar""},{""adm2_code"":37343,""adm2_name"":""Pontian""}]",0,NA,24.561,103.055,0,"[{""adm2_code"":37337,""adm2_name"":""batu pahit""},{""adm2_code"":37339,""adm2_name"":""kluang""},{""adm2_code"":37342,""adm2_name"":""muar""},{""adm2_code"":37343,""adm2_name"":""pontian""}]","pontian, batu pahat, muar, kluang,tangkak districts (johor state)",Johor
2020,"Kota Kinabalu, Kota Belud, Tuaran, Telipok Districts (Sabah State)","[{""adm2_code"":37408,""adm2_name"":""Kota Belud""},{""adm2_code"":37409,""adm2_name"":""Kota Kinabalu""},{""adm2_code"":37413,""adm2_name"":""Labuk \u0026 Sugut""},{""adm2_code"":37426,""adm2_name"":""Tuaran""}]",0,NA,NA,NA,0,"[{""adm2_code"":37408,""adm2_name"":""kota belud""},{""adm2_code"":37409,""adm2_name"":""kota kinabalu""},{""adm2_code"":37413,""adm2_name"":""labuk \u0026 sugut""},{""adm2_code"":37426,""adm2_name"":""tuaran""}]","kota kinabalu, kota belud, tuaran, telipok districts (sabah state)",Sabah
2020,"Terengganu, Kelantan, Pahang","[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,NA,NA,NA,0,"[{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","terengganu, kelantan, pahang",Kelantan
2021,"Serian, Samarahan, Miri, Kuching districts (Sarawak State)","[{""adm2_code"":37436,""adm2_name"":""Kuching""},{""adm2_code"":37443,""adm2_name"":""Miri""},{""adm2_code"":37445,""adm2_name"":""Samarahan""},{""adm2_code"":37448,""adm2_name"":""Serian""}]",0,6,NA,NA,0,"[{""adm2_code"":37436,""adm2_name"":""kuching""},{""adm2_code"":37443,""adm2_name"":""miri""},{""adm2_code"":37445,""adm2_name"":""samarahan""},{""adm2_code"":37448,""adm2_name"":""serian""}]","serian, samarahan, miri, kuching districts (sarawak state)",Sarawak
2021,"Beaufort, Kota Marudu, Kudat, Pitas (Sabah State, Borneo's East Malaysia); Serian, Samarahan, Miri, Kuching (Sarawak state)","[{""adm1_code"":1901,""adm1_name"":""Sabah""}]",0,NA,NA,NA,0,"[{""adm1_code"":1901,""adm1_name"":""sabah""}]","beaufort, kota marudu, kudat, pitas (sabah state, borneo's east malaysia); serian, samarahan, miri, kuching (sarawak state)",Sabah
2021,"Johor, Pahang, Terengganu, Sabah, Kelantan, Selangor, Perak states","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,8,NA,NA,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1901,""adm1_name"":""sabah""},{""adm1_code"":1903,""adm1_name"":""selangor""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","johor, pahang, terengganu, sabah, kelantan, selangor, perak states",Johor
2021,Beaufort and Tenom districts (Sabah state); Sarawak state; Melaka state,"[{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1902,""adm1_name"":""Sarawak""},{""adm2_code"":37405,""adm2_name"":""Beaufort""},{""adm2_code"":37425,""adm2_name"":""Tenom""}]",0,NA,NA,NA,0,"[{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1902,""adm1_name"":""sarawak""},{""adm2_code"":37405,""adm2_name"":""beaufort""},{""adm2_code"":37425,""adm2_name"":""tenom""}]",beaufort and tenom districts (sabah state); sarawak state; melaka state,Melaka
2021,"Yan, Kuala Muda and Bandar Baharu districts (Kedah state)","[{""adm2_code"":37346,""adm2_name"":""Bandar Baharu""},{""adm2_code"":37348,""adm2_name"":""Kuala Muda""},{""adm2_code"":37355,""adm2_name"":""Yan""}]",0,7,NA,NA,0,"[{""adm2_code"":37346,""adm2_name"":""bandar baharu""},{""adm2_code"":37348,""adm2_name"":""kuala muda""},{""adm2_code"":37355,""adm2_name"":""yan""}]","yan, kuala muda and bandar baharu districts (kedah state)",Kedah
2021,"Kota Kinabalu, Penampang and Putatan Districts (Sabah state) ; Johor, Sarawak states","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1902,""adm1_name"":""Sarawak""},{""adm2_code"":37409,""adm2_name"":""Kota Kinabalu""},{""adm2_code"":37416,""adm2_name"":""Penampang""}]",0,2,NA,NA,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1902,""adm1_name"":""sarawak""},{""adm2_code"":37409,""adm2_name"":""kota kinabalu""},{""adm2_code"":37416,""adm2_name"":""penampang""}]","kota kinabalu, penampang and putatan districts (sabah state) ; johor, sarawak states",Johor
2021,"Kedah, Malacca, Negeri Sembilan, Selangor States, Kuala Lumpur Federal Territory","[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1896,""adm1_name"":""Negeri Sembilan""},{""adm1_code"":1903,""adm1_name"":""Selangor""}]",0,NA,NA,NA,0,"[{""adm1_code"":1892,""adm1_name"":""kedah""},{""adm1_code"":1894,""adm1_name"":""kuala lumpur""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1896,""adm1_name"":""negeri sembilan""},{""adm1_code"":1903,""adm1_name"":""selangor""}]","kedah, malacca, negeri sembilan, selangor states, kuala lumpur federal territory",Kedah
2021,"Pahang, Selangor, Terengganu, Kelantan, Johor, Malacca, Negeri Sembilan, Sabah, Perak and the Federal Territory of Kuala Lumpur","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1896,""adm1_name"":""Negeri Sembilan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",1460000,56,NA,NA,1460000000,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1894,""adm1_name"":""kuala lumpur""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1896,""adm1_name"":""negeri sembilan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1901,""adm1_name"":""sabah""},{""adm1_code"":1903,""adm1_name"":""selangor""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","pahang, selangor, terengganu, kelantan, johor, malacca, negeri sembilan, sabah, perak and the federal territory of kuala lumpur",Johor
2022,"Kelantan, Pahang, and Terengganu","[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",240,6,NA,NA,240000,"[{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","kelantan, pahang, and terengganu",Kelantan
2022,"Kuala Lumpur, Melaka, Negeri Sembilan; Gombak, Hulu Langat, Kuala Langat, Petaling and Sepang (Selangor)","[{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1896,""adm1_name"":""Negeri Sembilan""},{""adm2_code"":37390,""adm2_name"":""Hulu Perak""},{""adm2_code"":37454,""adm2_name"":""Gombak""},{""adm2_code"":37457,""adm2_name"":""Kuala Langat""},{""adm2_code"":37459,""adm2_name"":""Petaling""},{""adm2_code"":37461,""adm2_name"":""Sepang""},{""adm2_code"":37462,""adm2_name"":""Ulu Langat""}]",0,NA,NA,NA,0,"[{""adm1_code"":1894,""adm1_name"":""kuala lumpur""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1896,""adm1_name"":""negeri sembilan""},{""adm2_code"":37390,""adm2_name"":""hulu perak""},{""adm2_code"":37454,""adm2_name"":""gombak""},{""adm2_code"":37457,""adm2_name"":""kuala langat""},{""adm2_code"":37459,""adm2_name"":""petaling""},{""adm2_code"":37461,""adm2_name"":""sepang""},{""adm2_code"":37462,""adm2_name"":""ulu langat""}]","kuala lumpur, melaka, negeri sembilan; gombak, hulu langat, kuala langat, petaling and sepang (selangor)",Melaka
2022,Baling District (eastern Kedah State),"[{""adm2_code"":37345,""adm2_name"":""Baling""}]",0,3,NA,NA,0,"[{""adm2_code"":37345,""adm2_name"":""baling""}]",baling district (eastern kedah state),Kedah
2022,"Kelantan, Pahang, Pulau Pinang, Perak, Selangor, Melaka, and Johor in the Malay Peninsula and Sabah State on Borneo Island","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1900,""adm1_name"":""Pulau Pinang""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""}]",0,NA,NA,NA,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1900,""adm1_name"":""pulau pinang""},{""adm1_code"":1901,""adm1_name"":""sabah""},{""adm1_code"":1903,""adm1_name"":""selangor""}]","kelantan, pahang, pulau pinang, perak, selangor, melaka, and johor in the malay peninsula and sabah state on borneo island",Johor
2022,"Kelantan, Terengganu, Pahang, Johor, Perak states","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,8,NA,NA,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","kelantan, terengganu, pahang, johor, perak states",Johor
2023,"Johor, Pahang, and Sabah States",NA,0,NA,NA,NA,0,,"johor, pahang, and sabah states",Johor
2023,"Johor, Pahang, Malacca, and Negeri Sembilan",NA,0,4,NA,NA,0,,"johor, pahang, malacca, and negeri sembilan",Johor
2023,"Selangor, Perak, and Pahang states",NA,0,NA,NA,NA,0,,"selangor, perak, and pahang states",Pahang
2023,"Johor, Kelantan, Pahang, Sabah, and Terengganu states",NA,0,2,NA,NA,0,,"johor, kelantan, pahang, sabah, and terengganu states",Johor
